File Path,Line Number,Pattern Type,Full Code Context,Severity,Comments
apps/meteor/ee/server/apps/storage/AppGridFSSourceStorage.ts,50,.catch(() => {}),this.remove(item).catch(() => {});,Low,"Error likely non-critical for file removal during upload stream completion. ESLint disabled with comment explaining the intentional decision."
packages/apps-engine/src/server/AppManager.ts,510,.catch(() => {}),await app.validateLicense().catch(() => {});,Medium,"License validation error silenced during app download/update. Could hide license issues."
packages/apps-engine/src/server/AppManager.ts,529,.catch(() => {}),await app.validateLicense().catch(() => {});,Medium,"License validation error silenced during app migration. Could hide license issues."
packages/apps-engine/src/server/AppManager.ts,541,.catch(() => {}),this.bridges.getAppActivationBridge().doAppUpdated(app).catch(() => {});,Low,"App activation bridge error during update non-critical. Intentional based on comment context."
packages/apps-engine/src/server/AppManager.ts,612,.catch(() => {}),this.getRuntime().stopRuntime(app.getRuntimeController()).catch(() => {}),Low,"Runtime stop error suppressed during cleanup. Errors here don't prevent process termination."
packages/apps-engine/src/server/AppManager.ts,651,.catch(() => {}),this.bridges.getAppActivationBridge().doAppAdded(app).catch(() => {}),Low,"App added notification error suppressed with explicit comment: 'If an error occurs during this, oh well.'"
packages/apps-engine/src/server/AppManager.ts,705,.catch(() => {}),await this.appSourceStorage.remove(app.getStorageItem()).catch(() => {});,Low,"App source storage removal error suppressed during uninstall cleanup."
packages/apps-engine/src/server/AppManager.ts,710,.catch(() => {}),this.getRuntime().stopRuntime(app.getRuntimeController()).catch(() => {});,Low,"Runtime stop error suppressed. Duplicate pattern - errors don't prevent process termination."
packages/apps-engine/src/server/AppManager.ts,733,.catch(() => {}),await this.disable(old.id).catch(() => {});,Medium,"App disable error silenced during installation phase. Could hide app state issues."
packages/apps-engine/src/server/AppManager.ts,765,.catch(() => {}),this.getRuntime().stopRuntime(app.getRuntimeController()).catch(() => {});,Low,"Runtime stop error suppressed during cleanup phase."
packages/apps-engine/src/server/AppManager.ts,794,.catch(() => {}),this.bridges.getPersistenceBridge().purge(app.getID()).catch(() => {});,Low,"Persistence bridge purge error suppressed during app removal."
packages/apps-engine/src/server/AppManager.ts,819,.catch(() => {}),this.appSourceStorage.remove(app.getStorageItem()).catch(() => {});,Low,"App source storage removal error suppressed - duplicate of line 705."
packages/apps-engine/src/server/AppManager.ts,930,.catch(() => {}),).catch(() => {});,Low,"Promise cleanup error suppressed - context suggests non-critical operation."
apps/meteor/app/webdav/server/lib/uploadFileToWebdav.ts,19,.catch(() => {}),await client.createDirectory(uploadFolder).catch(() => {});,Low,"WebDAV directory creation error silenced. Directory may already exist - operation continues regardless."
ee/packages/media-calls/src/sip/providers/IncomingSipCall.ts,209,.catch(() => null),void mediaCallDirector.hangup(this.call, this.agent, 'remote').catch(() => null);,Medium,"SIP call hangup error suppressed after incoming call canceled. Could hide connection issues."
ee/packages/media-calls/src/sip/providers/OutgoingSipCall.ts,316,.catch(() => {}),answer = await this.sipDialog.modify(negotiation.offer.sdp).catch(() => { logger.debug('modify failed'); }),Low,"SIP dialog modification error logged at debug level but exception suppressed. Has fallback logging."
ee/packages/media-calls/src/sip/providers/IncomingSipCall.ts,347,.catch(() => {}),return this.createDialog(localNegotiation.answer.sdp).catch(() => { logger.error('Failed to create incoming call dialog.'); this.hangupPendingCall(...); }),Medium,"Dialog creation error handled with error logging and explicit hangup call."
ee/packages/media-calls/src/sip/providers/IncomingSipCall.ts,371,.catch(() => {}),answer = await this.sipDialog.modify(negotiation.offer.sdp).catch(() => { logger.debug('modify failed'); }),Low,"SIP dialog modification error logged at debug level - duplicate of OutgoingSipCall pattern."
ee/packages/media-calls/src/server/MediaCallServer.ts,40,.catch(() => null),this.requestCall(params).catch(() => null);,Medium,"Call request error silenced. Could hide signal processing issues."
ee/packages/media-calls/src/server/CallDirector.ts,406,.catch(() => false),const modified = await this.hangupCallById(callId, params).catch(() => false);,Medium,"Call hangup error returns false result. Caller checks modified status to handle gracefully."
ee/packages/media-calls/src/server/CallDirector.ts,434,.catch(() => null),agent?.onCallEnded(call._id).catch(() => null);,Low,"Agent notification of call end error suppressed - notification failure non-critical."
ee/packages/media-calls/src/server/BroadcastAgent.ts,50,.catch(() => {}),this.provider.reactToCallChanges(otherParams).catch(() => { getMediaCallServer().reportCallUpdate(params); }),Low,"Provider call update error has fallback: reports via MediaCallServer instead."
ee/packages/media-calls/src/internal/SignalProcessor.ts,121,.catch(() => null),await Promise.all(calls.map((call) => this.reactToUnknownCall(uid, call, signal).catch(() => null)));,Medium,"Unknown call reaction error silenced in Promise.all. Could hide signal processing failures."
ee/packages/media-calls/src/internal/InternalCallProvider.ts,54,.catch(() => null),mediaCallDirector.hangupTransferredCallById(params.parentCallId).catch(() => null);,Medium,"Transferred call hangup error suppressed. Could hide call termination issues."
ee/packages/media-calls/src/internal/agents/CallSignalProcessor.ts,360,.catch(() => null),.catch(() => null);,Low,"Negotiation update error suppressed. Non-critical for call stability (context: 'if result.modifiedCount')."
packages/media-signaling/src/lib/Session.ts,363,.catch(() => null),this.updateInputTrack().catch(() => null);,Low,"Input track update error suppressed. Fire-and-forget operation for media stream management."
packages/media-signaling/src/lib/Session.ts,410,.catch(() => null),userMedia = await this.config.mediaStreamFactory({ audio: this.getAudioConstraints() }).catch(() => null);,Low,"Media stream acquisition error returns null. Caller handles null result appropriately."
packages/media-signaling/src/lib/NegotiationManager.ts,117,.catch(() => null),.catch(() => null);,Low,"Negotiation operation error suppressed in try-finally block."
packages/media-signaling/src/lib/NegotiationManager.ts,235,.catch(() => null),.catch(() => null);,Low,"Negotiation operation error suppressed. Located in stability check code."
apps/meteor/server/modules/notifications/notifications.module.ts,286,.catch(() => null),void MediaCall.processSerializedSignal(this.userId, data).catch(() => null);,Low,"Media call signal processing error suppressed - fire-and-forget notification handler."
apps/meteor/public/workers/index.js,78,.catch(() => {}),.catch(() => { if (hasHash(event.request.url)) return caches.match(event.request.url); ... }),Low,"Service worker cache fetch error has fallback logic for offline support."
apps/meteor/server/ufs/ufs-methods.ts,23,.catch(() => {}),fs.promises.unlink(tmpFile).catch(() => { console.warn(`[ufsComplete] Failed to remove temp file: ${tmpFile}`); }),Low,"Temp file removal error logged with console.warn. Has explicit error logging."
